id,latitude,longitude,lap,navigation,vehicle_id,sample,datetime
13914123,-13.5235045,-71.9797623,2,115,SJ20,1060,2023-03-05 09:37:56
13914145,-13.5237862,-71.9791289,2,115,SJ20,1060,2023-03-05 09:38:09
13914167,-13.5240559,-71.9785157,2,114,SJ20,1060,2023-03-05 09:38:21
13914309,-13.5244311,-71.9779239,2,173,SJ20,1060,2023-03-05 09:39:41
13914405,-13.5249753,-71.9778428,2,98,SJ20,1060,2023-03-05 09:40:11
13914406,-13.525069,-71.9770599,2,97,SJ20,1060,2023-03-05 09:40:23
13914425,-13.5252888,-71.9762337,2,102,SJ20,1060,2023-03-05 09:40:44
13914453,-13.5255224,-71.9754982,2,106,SJ20,1060,2023-03-05 09:40:56
13914484,-13.5257308,-71.9748155,2,106,SJ20,1060,2023-03-05 09:41:14
13914508,-13.5259922,-71.9739265,2,106,SJ20,1060,2023-03-05 09:41:26
13914547,-13.5262627,-71.973114,2,107,SJ20,1060,2023-03-05 09:41:46
13914567,-13.5265884,-71.9723155,2,117,SJ20,1060,2023-03-05 09:41:58
13914714,-13.5270918,-71.9716689,2,129,SJ20,1060,2023-03-05 09:43:16
13914738,-13.5274149,-71.9710567,2,41,SJ20,1060,2023-03-05 09:43:30
13914761,-13.5267806,-71.971409,2,324,SJ20,1060,2023-03-05 09:43:43
13914780,-13.5258491,-71.971961,2,332,SJ20,1060,2023-03-05 09:43:55
13914821,-13.5251524,-71.9723493,2,338,SJ20,1060,2023-03-05 09:44:16
13914846,-13.5244112,-71.9725444,2,349,SJ20,1060,2023-03-05 09:44:29
13914909,-13.5236166,-71.9727218,2,350,SJ20,1060,2023-03-05 09:45:03
13914934,-13.5227959,-71.9729018,2,345,SJ20,1060,2023-03-05 09:45:15
13914990,-13.5223603,-71.9727405,2,99,SJ20,1060,2023-03-05 09:45:45
13915049,-13.5224372,-71.9720542,2,92,SJ20,1060,2023-03-05 09:46:18
13915077,-13.5225634,-71.9712906,2,98,SJ20,1060,2023-03-05 09:46:30
13915152,-13.5226826,-71.9704943,2,97,SJ20,1060,2023-03-05 09:47:11
13915159,-13.5227907,-71.9696025,2,97,SJ20,1060,2023-03-05 09:47:23
13915188,-13.5229322,-71.9687933,2,180,SJ20,1060,2023-03-05 09:47:40
13915216,-13.5226508,-71.9682028,2,31,SJ20,1060,2023-03-05 09:47:57
13915236,-13.5219965,-71.9677892,2,33,SJ20,1060,2023-03-05 09:48:09
13915297,-13.5214143,-71.9673869,2,46,SJ20,1060,2023-03-05 09:48:37
13915316,-13.5211902,-71.9666425,2,99,SJ20,1060,2023-03-05 09:48:49
13915363,-13.5214196,-71.965996,2,107,SJ20,1060,2023-03-05 09:49:13
13915460,-13.5218694,-71.9645141,2,108,SJ20,1060,2023-03-05 09:49:58
13915487,-13.5220738,-71.9637942,2,103,SJ20,1060,2023-03-05 09:50:31
13915517,-13.5223174,-71.9630733,2,107,SJ20,1060,2023-03-05 09:50:53
13915536,-13.522572,-71.9622957,2,102,SJ20,1060,2023-03-05 09:51:05
13915622,-13.5228055,-71.9615131,2,104,SJ20,1060,2023-03-05 09:51:47
13915650,-13.5229944,-71.9609568,2,105,SJ20,1060,2023-03-05 09:51:59
13915663,-13.5231855,-71.9602827,2,106,SJ20,1060,2023-03-05 09:52:12
13915693,-13.5234221,-71.9595942,2,108,SJ20,1060,2023-03-05 09:52:25
13915728,-13.523636,-71.9588139,2,107,SJ20,1060,2023-03-05 09:52:48
13915756,-13.5239651,-71.9577893,2,107,SJ20,1060,2023-03-05 09:53:00
13915785,-13.5242647,-71.9568107,2,106,SJ20,1060,2023-03-05 09:53:12
13915820,-13.5244871,-71.9560612,2,104,SJ20,1060,2023-03-05 09:53:42
