number,id,name,navigation,latitude,longitude,radio
111,148,Magisterio,107,-13.5266997692953,-71.9487288498974,0
112,149,Marcavalle,98,-13.5274208269217,-71.9460627341366,0
113,150,Santa Úrsula,93,-13.527722,-71.943345,0
114,151,Primero,101,-13.528131772148642,-71.94017800312908,0
115,152,Callejon,105,-13.528597,-71.93852,0
116,153,Segundo,105,-13.529192,-71.936401,0
117,154,Tercero,105,-13.529615,-71.934907,0
118,155,Cuarto,105,-13.530206,-71.932813,0
119,156,Quinto,105,-13.531014,-71.930137,0
120,157,Sexto,103,-13.531583,-71.92816,0
121,158,Séptimo,103,-13.532279,-71.925605,0
122,159,Camionero,87,-13.533008,-71.922644,0
123,160,Santa Rosa,72,-13.532813,-71.920947,0
124,161,Mercadillo,72,-13.532543,-71.9195,0
125,162,San Miguel,75,-13.531814,-71.916331,0
126,163,Sol de Oro,114,-13.532002,-71.914273,0
127,164,Enaco,125,-13.53351,-71.911919,0
128,165,Cachimayo,122,-13.535236,-71.909339,0
129,166,Puente Tupac Amarú,122,-13.536355,-71.907676,0
130,167,Grifo,122,-13.536948,-71.906758,0
131,168,Universidad Andina,122,-13.538342,-71.904645,0
132,169,Teléfono,129,-13.539324,-71.903183,0
133,170,Tíngo,129,-13.540735,-71.901238,0
134,171,Maestro,127,-13.541793,-71.899795,0
135,172,San Martin,124,-13.542894,-71.898261,0
136,173,Miraflores,115,-13.544522,-71.89589,0
137,174,Penal Quencoro,115,-13.545191,-71.8946,0
138,175,San Juan,99,-13.545887,-71.892087,0
139,176,Control,27,-13.54596,-71.88995,0
140,177,Mercado,110,-13.544204,-71.888259,0
141,178,Farmacia,108,-13.547113,-71.886745,0
142,179,Medio,100,-13.547502,-71.885346,0
143,180,Tercero,100,-13.548058,-71.883266,0
144,181,Romeritos,107,-13.548642,-71.881142,0
145,182,Posta,107,-13.548908,-71.880073,0
146,183,Tapia,107,-13.549241,-71.878975,0
147,184,Forestal,107,-13.549985,-71.876345,0
148,185,Kayra,107,-13.550608,-71.874402,0
149,186,Puente,105,-13.551644,-71.870166,0
150,187,Ccollana,101,-13.552338,-71.867369,0
